frame_index,frame_timestamp_sec,num_local_nodes_pre,num_local_nodes_kept,num_new_nodes,num_nodes,num_edges,num_new_edges,t_inference_ms,t_merge_ms,t_edges_ms,t_other_ms,t_frame_total_ms
1,221.193376904,143,143,143,143,574,574,2300.0728711485863,71.08705304563046,30.474239960312843,37.56721690297127,2439.201381057501
9,223.435369129,151,151,151,294,1144,570,201.99692994356155,4.4678570702672005,2.2351110819727182,1.0208890307694674,209.72078712657094
10,223.532853972,158,158,158,452,1756,612,27.460463112220168,0.830864068120718,2.545831026509404,0.6546848453581333,31.491843052208424
11,223.630328024,149,149,149,601,2321,565,24.01201194152236,1.9101628568023443,4.339657025411725,0.6857533007860184,30.947585124522448
12,223.7278017,148,148,148,749,2868,547,23.86481687426567,0.6817351095378399,2.329727867618203,0.661828089505434,27.538107940927148
13,223.825285293,147,147,147,896,3432,564,23.61605199985206,0.6207709666341543,2.6149009354412556,0.9178272448480129,27.769551146775484
14,223.92276172,151,151,151,1047,4009,577,27.12534600868821,0.8174891117960215,2.424364909529686,0.7203368004411459,31.087536830455065
15,224.020233396,153,153,153,1200,4589,580,25.933346012607217,0.9357698727399111,3.1949160620570183,0.7957690395414829,30.85980098694563
16,224.117707281,158,158,158,1358,5184,595,25.21015307866037,0.6319519598037004,2.332553034648299,0.6314120255410671,28.806070098653436
17,224.215181082,157,157,157,1515,5789,605,27.215844951570034,0.8792851585894823,2.640198916196823,0.6175639573484659,31.352892983704805
18,224.312654342,153,153,153,1668,6368,579,25.829292135313153,0.6366011220961809,3.389270044863224,0.6155096925795078,30.470672994852066
19,224.410129102,155,155,155,1823,6958,590,27.501850156113505,0.6037789862602949,2.4881940335035324,0.6615077145397663,31.2553308904171
20,224.507604612,159,159,159,1982,7575,617,24.578281911090016,0.6522699259221554,3.062858944758773,0.668790191411972,28.962200973182917
21,224.605086872,153,153,153,2135,8153,578,26.210465002804995,0.8267168886959553,2.4105391930788755,0.6714139599353075,30.119135044515133
22,224.702562465,156,156,156,2291,8752,599,24.967429926618934,0.6263810209929943,2.8800060972571373,0.68506202660501,29.158879071474075
23,224.800035225,155,155,155,2446,9358,606,24.862923892214894,0.623656902462244,2.5565510150045156,0.6370523478835821,28.680184157565236
25,224.994994077,158,158,158,2604,9962,604,26.59837994724512,0.6854720413684845,2.8793259989470243,0.7129539735615253,30.876131961122155
26,225.092509796,166,166,166,2770,10606,644,28.05189904756844,0.6171939894556999,2.759691094979644,0.7454350125044584,32.17421914450824
27,225.189944805,167,167,167,2937,11246,640,27.23954012617469,1.5464529860764742,3.6248499527573586,0.8135007228702307,33.22434378787875
28,225.287414649,166,166,166,3103,11901,655,25.809755781665444,0.6357389502227306,3.0467980541288853,0.6198203191161156,30.112113105133176
30,225.482372376,172,172,172,3275,12595,694,27.859438909217715,0.8152651134878397,3.306114114820957,0.6461278535425663,32.62694599106908
31,225.677319896,169,169,169,3444,13266,671,27.479056967422366,0.7086549885571003,3.2135809306055307,0.6269232835620642,32.02821617014706
33,225.969797425,167,167,167,3611,13947,681,25.86080110631883,0.6397271063178778,3.1811001244932413,0.7167896255850792,30.39841796271503
34,226.164699278,174,174,174,3785,14662,715,26.37239801697433,0.6045710761100054,3.111850004643202,0.6428828928619623,30.7317019905895
35,226.457123974,167,167,167,3952,15354,692,26.463517919182777,0.7080549839884043,3.2324560452252626,0.694578979164362,31.098607927560806
36,226.652111536,166,166,166,4118,16041,687,28.15666515380144,0.8265560027211905,4.042590968310833,0.8212467655539513,33.847058890387416
38,227.139437626,174,174,174,4292,16764,723,29.15514283813536,0.6873151287436485,3.297438146546483,0.6994479335844517,33.839344047009945
39,227.334385563,163,163,163,4455,17434,670,25.200505973771214,0.7002600468695164,2.9239491559565067,0.7524166721850634,29.5771318487823
41,227.626806925,170,170,170,4625,18137,703,28.492794139310718,0.9682008530944586,4.887883085757494,0.7270390633493662,35.075917141512036
43,228.016705006,177,177,177,4802,18868,731,26.120797032490373,0.6958518642932177,3.3587520010769367,0.7516660261899233,30.92706692405045
44,228.211650859,175,175,175,4977,19592,724,28.69105408899486,0.7087648846209049,3.3631911501288414,0.6387759931385517,33.40178611688316
45,228.601545648,168,168,168,5145,20289,697,28.63695309497416,0.6169339176267385,3.4823829773813486,0.6118649616837502,33.348134951666
46,228.991441646,164,164,164,5309,20969,680,26.507660979405046,0.6519488524645567,3.335227956995368,0.773116247728467,31.267954036593437
47,229.381335977,168,168,168,5477,21674,705,27.287319069728255,0.6733899936079979,3.176442114636302,0.6159506738185883,31.753101851791143
48,229.673757756,173,173,173,5650,22400,726,29.068981064483523,0.6569991819560528,3.6333859898149967,0.7330619264394045,34.09242816269398
49,230.161129138,178,178,178,5828,23129,729,27.196810115128756,0.7521668449044228,5.1214490085840225,0.6933070253580809,33.76373299397528
50,230.551021636,169,169,169,5997,23826,697,28.180139139294624,0.7953380700200796,3.5080518573522568,0.6653838790953159,33.14891294576228
51,230.9409173,178,178,178,6175,24554,728,27.02854503877461,1.1150948703289032,3.7340440321713686,0.6653249729424715,32.54300891421735
52,231.330802422,197,197,197,6372,25328,774,29.355698032304645,0.644204905256629,5.324098980054259,0.793463084846735,36.11746500246227
53,231.72069017,180,180,180,6552,26027,699,31.651821918785572,0.7128030993044376,4.279254004359245,0.7162699475884438,37.3601489700377
54,232.110560334,181,181,181,6733,26763,736,26.817410020157695,0.649675028398633,4.091734066605568,0.6147688254714012,32.1735879406333
55,232.500448165,182,182,182,6915,27513,750,28.37465307675302,0.7671448402106762,3.8613330107182264,0.7120410446077585,33.71517197228968
58,233.182729108,183,183,183,7098,28272,759,28.83214899338782,0.7326710037887096,4.1619339026510715,0.8884212002158165,34.615175100043416
61,233.572581773,179,179,179,7277,29011,739,28.373058885335922,0.674400944262743,3.624558914452791,0.6594052538275719,33.33142399787903
62,234.05982378,189,189,189,7466,29802,791,29.305163072422147,0.7475679740309715,4.738293122500181,0.645205844193697,35.436230013147
66,234.742077932,187,187,187,7653,30562,760,31.285627046599984,0.7124829571694136,4.531946033239365,0.667929882183671,37.19798591919243
69,235.131973721,184,184,184,7837,31333,771,27.24293596111238,0.6897400598973036,4.906618036329746,0.6471800152212381,33.48647407256067
72,235.619342687,188,188,188,8025,32120,787,29.366076923906803,0.6954609416425228,4.529081983491778,0.7293231319636106,35.319942981004715
74,236.106776944,193,193,193,8218,32935,815,29.84041511081159,0.6953799165785313,4.575829021632671,0.7091558072715998,35.82077985629439
77,236.691762961,180,180,180,8398,33691,756,28.71093200519681,0.6169239059090614,4.348764196038246,0.7628868333995342,34.43950694054365
80,237.179147052,190,190,190,8588,34458,767,30.465604038909078,0.9331249166280031,5.022664088755846,0.7875338196754456,37.20892686396837
81,237.666547392,183,183,183,8771,35200,742,30.157677829265594,0.7791970856487751,5.301875993609428,0.817769905552268,37.056520814076066
