frame_index,frame_timestamp_sec,num_input_points,num_valid_cells,num_nodes,num_edges,num_frontiers,t_parse_ms,t_emap_ms,t_elev_extract_ms,t_local_ms,t_merge_ms,t_update_residual_ms,t_visited_time_ms,t_layers_ms,t_graph_total_ms,t_frame_total_ms
4,141.069357987,48766,1787,5,3,3,2.5285128504037857,172.88642888888717,0.7201980333775282,65.8913729712367,48.664917005226016,72.25611805915833,0.503642950206995,16.70265686698258,204.77829896844923,380.9769288636744
5,141.16683183,48822,2202,5,3,3,2.3438879288733006,1.629540929570794,0.3467991482466459,2.6466851122677326,2.087047090753913,8.825790835544467,0.3117029555141926,0.9302711114287376,15.173534164205194,19.724231911823153
8,141.556727036,48886,2396,5,3,2,2.3707780055701733,3.584610065445304,0.41555799543857574,5.135142942890525,3.7487170193344355,13.885612832382321,0.3557251766324043,1.0715059470385313,24.639212992042303,31.191357877105474
9,141.751674847,48602,2766,5,3,2,6.347622023895383,2.7970760129392147,0.3662360832095146,3.007630119100213,2.207772806286812,8.369657211005688,0.36710710264742374,1.0921650100499392,15.436234883964062,25.227705016732216
10,141.946622075,48431,2933,7,6,3,6.114335963502526,3.3268779516220093,0.4095460753887892,3.3677341416478157,2.6624640449881554,9.159304900094867,0.42888312600553036,1.1965101584792137,17.251985147595406,27.368651935830712
11,142.14157047,48035,3151,8,6,4,5.461032968014479,2.916760044172406,0.36984216421842575,2.6727630756795406,7.778501138091087,8.927039802074432,0.33830292522907257,1.073750900104642,21.18785190396011,30.361684039235115
12,142.239043646,47979,3419,8,6,4,6.001154193654656,2.765457145869732,0.3538220189511776,2.616697922348976,1.8357569351792336,8.190642343834043,0.31239516101777554,0.968423206359148,14.302082126960158,23.633599979802966
13,142.434030207,47944,3620,9,6,5,5.763808963820338,3.0612510163336992,0.4428490065038204,2.6852870360016823,2.034428995102644,8.695386815816164,0.3124948125332594,1.0596441570669413,15.258352039381862,24.68216302804649
14,142.628938519,47749,3791,10,7,5,7.295987103134394,3.485154127702117,0.49646920524537563,4.23227297142148,2.108425833284855,10.442588245496154,0.32633100636303425,1.0119539219886065,18.648097990080714,30.020476086065173
15,142.823886163,47602,4037,12,8,7,5.971187958493829,2.892404096201062,0.3731679171323776,2.4511790834367275,1.9206348806619644,8.592514088377357,0.30656391754746437,0.984912971034646,14.65476187877357,24.10864015109837
16,143.018873766,47650,4180,13,10,6,5.602949066087604,2.870773896574974,0.37094391882419586,2.851929049938917,2.091175178065896,8.614965714514256,0.34535606391727924,1.0090889409184456,15.30904695391655,24.38184106722474
17,143.213785952,47624,4261,14,11,7,5.815295968204737,3.7162869703024626,0.38345810025930405,3.02886008284986,2.5150778237730265,9.171618148684502,0.3404070157557726,1.12548703327775,16.58832188695669,26.77763602696359
18,143.311255129,47476,4455,14,11,7,5.368340061977506,2.8796810656785965,0.4095758777111769,2.835588064044714,1.9453410059213638,8.706287946552038,0.34059700556099415,1.0254390072077513,15.289741102606058,24.111344944685698
19,143.50620269,47625,4562,15,11,6,6.740236887708306,3.504670923575759,0.44550420716404915,3.5970830358564854,2.478509908542037,12.089651077985764,0.38103293627500534,1.0811639949679375,20.1020201202482,30.956869013607502
20,143.701154043,47553,4638,15,11,5,6.259226938709617,2.783140167593956,0.43218908831477165,2.508064964786172,1.9775622058659792,8.607972878962755,0.31840591691434383,1.0059529449790716,14.876378001645207,24.498078040778637
21,143.896098146,47362,4836,16,11,6,7.31970090419054,2.962264930829406,0.411089975386858,2.8580999933183193,2.2614530753344297,9.219198022037745,0.36554504185914993,1.0734600946307182,16.218188917264342,27.12335204705596
22,144.091044666,47378,5063,19,14,8,5.627193953841925,2.9438899364322424,0.41518802754580975,2.46317102573812,1.9413731060922146,8.667084854096174,0.34080795012414455,0.98266894929111,14.835471054539084,23.995767813175917
23,144.285993685,47338,5076,20,15,7,5.683269118890166,3.7643269170075655,0.4003189969807863,2.718579024076462,2.282512839883566,8.999455953016877,0.33263303339481354,1.3332460075616837,16.097824089229107,26.195707032456994
24,144.480942746,47102,5233,21,16,8,5.616803886368871,3.2517272047698498,0.44698710553348064,2.817664062604308,2.551595913246274,9.508860064670444,0.3218920901417732,0.99202711135149,16.669173957780004,26.115196058526635
25,144.675886933,47267,5382,22,17,8,7.083720061928034,2.9559640679508448,0.4116510972380638,2.482597017660737,1.9922591745853424,8.752914844080806,0.42284117080271244,1.1135139502584934,15.201465925201774,25.88990400545299
26,144.773365442,47354,5463,23,18,9,5.963192088529468,2.741701900959015,0.3992370329797268,2.790523925796151,2.393661066889763,8.974608965218067,0.3748917952179909,1.0568778961896896,16.01682184264064,25.323824025690556
27,144.968310212,47196,5729,25,22,11,6.166914012283087,2.880973042920232,0.3890779335051775,2.479841932654381,2.100462093949318,8.879271103069186,0.3254390321671963,0.9958148002624512,15.194894047454,24.817005032673478
28,145.163255732,47315,5921,28,26,12,6.5325789619237185,4.230228951200843,0.6176161114126444,2.818375127390027,3.3816101495176554,11.135685723274946,0.4966091364622116,1.0726379696279764,19.556707935407758,30.891435919329524
29,145.358261751,47399,5925,29,27,12,5.600323202088475,2.789761871099472,0.3665860276669264,3.510270966216922,2.5981341022998095,8.641855791211128,0.4004300571978092,1.067047007381916,16.608720179647207,25.5709458142519
30,145.553152771,47253,6177,29,27,12,6.607227958738804,3.4734520595520735,0.435905996710062,3.2860811334103346,2.4286159314215183,9.83205484226346,0.43264986015856266,1.216447213664651,17.660198966041207,28.405040968209505
31,145.74813879,47377,6391,29,28,12,5.72006800211966,3.165585920214653,0.4053490702062845,2.4905921891331673,1.9910868722945452,8.705816930159926,0.3809528425335884,1.09186302870512,15.092120971530676,24.547190172597766
32,145.943047852,47379,6460,29,28,12,6.665997905656695,2.8223830740898848,0.3760438412427902,2.5203481782227755,1.92278902977705,8.628210751339793,0.4837361630052328,1.098737120628357,15.055241994559765,25.143225910142064
33,146.040520986,47222,6647,32,29,12,5.8944441843777895,2.757641952484846,0.40376605466008186,2.623450942337513,2.248107921332121,8.861508220434189,0.42428402230143547,1.1009308509528637,15.694299014285207,24.933864129707217
