frame_index,frame_timestamp_sec,num_local_nodes_pre,num_local_nodes_kept,num_new_nodes,num_nodes,num_edges,num_new_edges,t_inference_ms,t_merge_ms,t_edges_ms,t_other_ms,t_frame_total_ms
1,61.141607031,343,23,23,23,67,67,2223.815008997917,61.611048178747296,27.6215560734272,42.39249392412603,2355.4401071742177
9,63.28602958,347,22,9,32,100,33,210.82617109641433,5.054749082773924,1.0041899513453245,0.7753998506814241,217.660509981215
10,63.383504589,351,20,6,38,121,21,28.904265956953168,0.7486110553145409,0.7911010179668665,0.7676058448851109,31.211583875119686
11,63.480975766,357,20,3,41,133,12,27.165723033249378,0.5593269597738981,0.6782191339880228,0.611873809248209,29.015142936259508
12,63.578449526,347,18,2,43,139,6,30.934144044294953,0.6036499980837107,0.6930171512067318,0.6734398193657398,32.904251012951136
13,63.675924035,347,19,3,46,144,5,28.561054030433297,0.7718349806964397,1.017474103718996,0.6268727593123913,30.977235874161124
14,63.77339817,336,31,13,59,182,38,27.287571225315332,0.6232759915292263,0.8802870288491249,0.6364006549119949,29.42753490060568
16,63.96835119,334,32,3,62,201,19,26.1797490529716,0.5873991176486015,0.8222090546041727,0.6967827212065458,28.28613994643092
17,64.06586395,344,24,1,63,204,3,27.628508862107992,0.5886910948902369,0.6938979495316744,0.7558849174529314,29.666982823982835
18,64.163292501,330,23,3,66,210,6,29.125439934432507,0.7802299223840237,0.6863840389996767,0.8108071051537991,31.402861000970006
19,64.260766761,323,20,3,69,218,8,25.856642983853817,0.5609591025859118,0.6687110289931297,0.6177769973874092,27.704090112820268
20,64.358239604,331,24,4,73,229,11,28.439285000786185,3.6319359205663204,0.952783040702343,0.6276259664446115,33.65162992849946
21,64.455714864,339,23,2,75,236,7,26.459921849891543,0.5530549678951502,0.6916050333529711,0.6152710411697626,28.319852892309427
22,64.553188332,333,20,6,81,241,5,26.304079918190837,0.5660599563270807,0.7035371381789446,0.621862942352891,28.195539955049753
23,64.650660925,334,22,3,84,250,9,27.256523026153445,0.5761780776083469,0.6882171146571636,0.5979998968541622,29.118918115273118
24,64.74813456,334,21,3,87,254,4,26.759613072499633,0.5583548918366432,0.6727189756929874,0.5969160702079535,28.587603010237217
25,64.845613403,334,24,2,89,265,11,29.36340495944023,0.7839570753276348,1.4158990234136581,0.6213930901139975,32.18465414829552
26,64.943081746,335,22,2,91,275,10,26.964555960148573,0.5627230275422335,0.7083460222929716,0.6181371863931417,28.85376219637692
27,65.040555881,346,21,1,92,278,3,31.915521016344428,0.557212857529521,0.6971841212362051,0.6359901744872332,33.80590816959739
28,65.138076224,340,22,4,96,287,9,26.844601845368743,0.8422958198934793,1.0111720766872168,0.6990183610469103,29.39708810299635
29,65.235505192,329,19,0,96,289,2,26.97338303551078,0.48288400284945965,0.7176829967647791,0.629928894340992,28.80387892946601
30,65.332979577,339,24,4,100,300,11,26.374011067673564,0.5714190192520618,0.7348849903792143,0.6082288455218077,28.288543922826648
31,65.430452045,336,24,2,102,307,7,29.89978902041912,1.0119741782546043,1.0478808544576168,0.6101608742028475,32.56980492733419
32,65.527966138,337,19,1,103,308,1,26.82657795958221,0.9477529674768448,0.8266069926321507,0.6318329833447933,29.232770903036
33,65.625436398,339,18,1,104,311,3,27.321874862536788,0.6059228908270597,0.6883679889142513,0.6084702908992767,29.224636033177376
34,65.722872074,338,23,3,107,320,9,26.79596096277237,0.573083059862256,1.3843001797795296,0.7154988124966621,29.468843014910817
35,65.820346501,329,20,1,108,322,2,28.238459955900908,0.7235938683152199,0.8298731409013271,0.8482481352984905,30.640175100415945
36,65.917819761,330,22,5,113,335,13,29.412847943603992,0.5637449212372303,3.9128519129008055,0.6187970284372568,34.508241806179285
37,66.015294479,327,19,1,114,340,5,26.650568936020136,0.5550479982048273,0.6800619885325432,0.595275079831481,28.480954002588987
38,66.112767739,319,19,2,116,350,10,26.72556904144585,0.5608890205621719,0.7125330157577991,0.6129778921604156,28.611968969926238
39,66.210240957,334,16,2,118,357,7,26.87682188116014,1.3066860847175121,0.6878869608044624,0.6112831179052591,29.482678044587374
40,66.30771555,322,18,2,120,367,10,26.078619062900543,0.5547378677874804,0.7029559928923845,0.6340560503304005,27.97036897391081
41,66.405189185,324,16,0,120,368,1,29.05657095834613,0.6310699973255396,0.8780329953879118,0.8345120586454868,31.400186009705067
42,66.502705319,327,15,1,121,369,1,26.224561035633087,0.5544768646359444,4.011044977232814,0.656000105664134,31.44608298316598
43,66.600136579,325,14,1,122,373,4,31.144859036430717,0.8817699272185564,0.6925051566213369,0.6154519505798817,33.33458607085049
44,66.697609881,332,15,2,124,376,3,26.320762000977993,0.5743138026446104,0.674121081829071,0.6390262860804796,28.208223171532154
45,66.795120807,337,15,2,126,387,11,27.91226003319025,0.6251297891139984,2.499386901035905,0.6361303385347128,31.672907061874866
46,66.892556525,325,20,2,128,393,6,26.998800924047828,0.569815980270505,0.6965931970626116,0.6192587316036224,28.884468832984567
47,66.990030493,336,22,2,130,402,9,33.244887832552195,0.6449271459132433,1.1334109585732222,0.6262820679694414,35.6495080050081
48,67.087504628,323,20,2,132,410,8,26.897390140220523,0.6651340518146753,0.8581560105085373,0.9635037276893854,29.38418393023312
49,67.184978471,330,22,5,137,428,18,30.58580309152603,0.5696159787476063,0.7017629686743021,0.6034588441252708,32.46064088307321
50,67.282451189,329,23,0,137,432,4,26.65405487641692,0.5534051451832056,0.7470480632036924,0.6145008374005556,28.569008922204375
51,67.379926866,336,22,3,140,448,16,27.084030909463763,0.6510689854621887,0.8297930471599102,0.6505148485302925,29.215407790616155
52,67.477398876,343,25,2,142,452,4,29.33840802870691,0.5704669747501612,0.7181731052696705,0.6281067617237568,31.255154870450497
53,67.574879927,354,23,3,145,463,11,27.789470041170716,0.5864971317350864,0.6960721220821142,0.6222357042133808,29.694274999201298
54,67.672347937,348,28,3,148,469,6,28.622298035770655,0.5659288726747036,0.9881991427391768,1.043983967974782,31.220410019159317
55,67.769821947,343,24,3,151,475,6,31.0059089679271,0.5683437921106815,0.7063508965075016,0.6105734501034021,32.89117710664868
56,67.86729479,333,23,3,154,484,9,27.643848210573196,0.5514309741556644,0.7056600879877806,0.608458649367094,29.509397922083735
57,67.9647688,343,23,1,155,488,4,31.38080984354019,0.6197600159794092,0.7948568090796471,0.6815465167164803,33.47697318531573
58,68.062242226,340,24,1,156,493,5,30.683075077831745,0.7692088838666677,0.8956759702414274,0.7305571343749762,33.07851706631482
59,68.159715361,346,29,7,163,517,24,27.465404011309147,5.82427904009819,1.0473399888724089,0.6898490246385336,35.02687206491828
60,68.257190412,335,23,2,165,520,3,26.41232288442552,0.568784074857831,0.7796590216457844,0.8782939985394478,28.639059979468584
61,68.354663964,343,30,2,167,530,10,28.60693004913628,0.620370963588357,1.396292820572853,0.6184959784150124,31.242089811712503
62,68.452137182,326,22,0,167,531,1,27.810178929939866,6.02499395608902,1.3184570707380772,0.8081421256065369,35.9617720823735
63,68.549610983,329,20,4,171,543,12,26.32673317566514,0.6341470871120691,0.7279720157384872,0.6369408220052719,28.32579310052097
64,68.647085702,331,26,3,174,558,15,30.064297141507268,0.6255100015550852,0.7558350916951895,0.604420667514205,32.05006290227175
65,68.74456817,330,25,1,175,562,4,27.690534945577383,8.723723934963346,3.181023057550192,0.6378320977091789,40.2331140358001
66,68.842074971,325,26,4,179,576,14,27.453962014988065,0.7814120035618544,1.0183749254792929,0.8311960846185684,30.08494502864778
