frame_index,frame_timestamp_sec,num_local_nodes_pre,num_local_nodes_kept,num_new_nodes,num_nodes,num_edges,num_new_edges,t_inference_ms,t_merge_ms,t_edges_ms,t_other_ms,t_frame_total_ms
1,61.141607031,352,25,25,25,80,80,2445.025560911745,60.744344955310225,28.508794028311968,36.345883971080184,2570.624583866447
9,63.480975766,332,24,8,33,100,20,206.86346502043307,5.796581972390413,1.0092398151755333,0.9886301122605801,214.6579169202596
10,63.578449526,337,25,8,41,124,24,17.996372189372778,0.5741850472986698,0.7529298309236765,1.007205806672573,20.330692874267697
12,63.77339817,338,21,4,45,131,7,17.540859058499336,0.6368921604007483,1.8058409914374352,0.7025869563221931,20.686179166659713
13,63.870870805,338,30,2,47,141,10,17.240246990695596,0.6929170340299606,1.1043180711567402,0.711000757291913,19.74848285317421
14,63.96835119,349,28,2,49,150,9,18.66024499759078,0.5797150079160929,0.8070098701864481,0.6505202036350965,20.697490079328418
16,64.163292501,341,33,11,60,180,30,16.472419956699014,0.6116358563303947,0.982009107246995,0.6274019833654165,18.69346690364182
17,64.260766761,342,32,5,65,192,12,16.92164014093578,1.2599891051650047,0.9626818355172873,0.6309219170361757,19.775232998654246
18,64.358239604,345,26,6,71,211,19,16.40841900371015,0.5430970340967178,0.7567571010440588,0.6143499631434679,18.322623101994395
19,64.455714864,339,28,4,75,232,21,16.360028879716992,0.5759578198194504,0.7804511114954948,0.6379750557243824,18.35441286675632
20,64.553188332,346,31,1,76,239,7,17.78443600051105,0.6293992046266794,0.773157924413681,0.6891479715704918,19.876141101121902
21,64.650660925,332,27,4,80,253,14,16.862137941643596,0.6042709574103355,0.8033940102905035,0.6443581078201532,18.914161017164588
22,64.74813456,340,25,2,82,263,10,16.22953382320702,0.5785741377621889,0.7353669498115778,0.609150156378746,18.152625067159534
23,64.845613403,334,28,4,86,287,24,16.79861987940967,0.6265218835324049,0.8659411687403917,0.6911649834364653,18.982247915118933
24,64.943081746,336,25,5,91,304,17,16.965491930022836,0.6935088895261288,1.4751311391592026,0.8259259629994631,19.96005792170763
