method,node_id,x,y,z,nearest_baseline_m
baseline,198,11.199995994567871,2.200000047683716,-0.5282204151153564,nan
baseline,199,10.599995613098145,-5.000000476837158,-0.4981499910354614,nan
baseline,200,11.699995994567871,-1.0,-0.4838656485080719,nan
baseline,201,11.399995803833008,1.600000023841858,-0.4914679527282715,nan
baseline,202,11.499996185302734,0.0,-0.510438084602356,nan
baseline,203,10.699995994567871,1.0,-0.5154837965965271,nan
baseline,204,12.299995422363281,-2.0999999046325684,-0.48686110973358154,nan
baseline,205,9.899995803833008,-3.0999999046325684,-0.46630099415779114,nan
baseline,206,10.499995231628418,-2.9000000953674316,-0.4459863603115082,nan
baseline,207,12.999996185302734,-3.200000047683716,-0.12427569180727005,nan
baseline,208,9.099995613098145,0.6000000238418579,-0.5099421739578247,nan
baseline,209,11.699995040893555,2.9000000953674316,-0.5094661116600037,nan
baseline,210,12.299995422363281,2.0999999046325684,-0.4999037981033325,nan
baseline,211,11.799995422363281,1.0,-0.4776173532009125,nan
baseline,212,2.999995231628418,-4.300000190734863,-0.6093149185180664,nan
baseline,213,11.299995422363281,-4.800000190734863,-0.45418277382850647,nan
baseline,214,12.899995803833008,-2.0999999046325684,-0.44371670484542847,nan
baseline,215,12.699995040893555,-0.09999999403953552,-0.4200645387172699,nan
baseline,216,12.499995231628418,-1.0999999046325684,-0.4236074388027191,nan
baseline,217,12.499995231628418,2.9000000953674316,-0.4830203354358673,nan
baseline,218,12.599994659423828,0.6000000238418579,-0.4477651119232178,nan
baseline,219,2.9999947547912598,-4.900000095367432,-0.4206681549549103,nan
baseline,220,12.999994277954102,-1.5,-0.4350041449069977,nan
baseline,221,12.599994659423828,-4.699999809265137,-0.3714178204536438,nan
baseline,222,12.099994659423828,0.10000000894069672,-0.4440804421901703,nan
baseline,223,13.799995422363281,-1.4000000953674316,-0.4388465881347656,nan
baseline,224,12.399995803833008,4.300000190734863,-0.4686312675476074,nan
baseline,225,11.899995803833008,-1.5999999046325684,-0.453853040933609,nan
baseline,226,6.499995708465576,-5.599999904632568,-0.004676079377532005,nan
baseline,227,13.299995422363281,-0.9000000357627869,-0.40325164794921875,nan
baseline,228,10.099996566772461,-5.5,-0.5506060719490051,nan
baseline,229,13.199996948242188,1.100000023841858,-0.41154977679252625,nan
baseline,230,13.499996185302734,-2.0,-0.41879022121429443,nan
baseline,231,13.199996948242188,-4.199999809265137,-0.39658212661743164,nan
baseline,232,8.499996185302734,0.30000001192092896,-0.2887670397758484,nan
baseline,233,12.399996757507324,3.5999999046325684,-0.43545255064964294,nan
baseline,234,12.49999713897705,5.200000286102295,-0.4488793611526489,nan
baseline,235,13.49999713897705,0.0,-0.3895125091075897,nan
baseline,236,5.899996757507324,-5.599999904632568,-0.14159369468688965,nan
baseline,237,13.099997520446777,2.700000047683716,-0.46906226873397827,nan
baseline,238,14.39999771118164,-1.9000000953674316,-0.3849075734615326,nan
baseline,239,13.89999771118164,-0.6000000238418579,-0.3691307008266449,nan
baseline,240,13.599998474121094,2.0,-0.4070521593093872,nan
baseline,241,11.39999771118164,-2.9000000953674316,-0.4254471957683563,nan
baseline,242,12.999998092651367,4.200000286102295,-0.42988622188568115,nan
baseline,243,14.599998474121094,-3.3000001907348633,-0.315292090177536,nan
baseline,244,13.79999828338623,1.4000000953674316,-0.3776671290397644,nan
baseline,245,12.29999828338623,6.300000190734863,-0.4762500822544098,nan
baseline,246,12.19999885559082,-5.599999904632568,-0.48439911007881165,nan
baseline,247,13.899999618530273,0.5,-0.3920847475528717,nan
baseline,248,14.0,4.300000190734863,-0.391131192445755,nan
baseline,249,15.19999885559082,-2.299999952316284,-0.329192578792572,nan
baseline,250,13.5,-3.0,-0.4367050528526306,nan
baseline,251,14.199999809265137,-3.8000001907348633,-0.4486708641052246,nan
baseline,252,15.300000190734863,-3.200000047683716,-0.3194812834262848,nan
baseline,253,14.399999618530273,-1.2000000476837158,-0.4002053141593933,nan
baseline,254,5.599999904632568,4.700000286102295,-0.5709353089332581,nan
baseline,255,6.300000190734863,-5.300000190734863,-0.5200059413909912,nan
baseline,256,13.899999618530273,3.200000047683716,-0.467031866312027,nan
baseline,257,13.600000381469727,-3.5999999046325684,-0.45516303181648254,nan
baseline,258,13.80000114440918,-4.300000190734863,-0.4226668179035187,nan
baseline,259,14.600000381469727,4.5,-0.47290700674057007,nan
baseline,260,14.700000762939453,-0.4000000059604645,-0.3636149764060974,nan
baseline,261,13.5,4.700000286102295,-0.4638237953186035,nan
baseline,262,14.40000057220459,1.399999976158142,-0.42321479320526123,nan
baseline,263,14.200000762939453,2.4000000953674316,-0.45712095499038696,nan
baseline,264,14.200000762939453,5.5,-0.3302876949310303,nan
baseline,265,15.20000171661377,4.199999809265137,-0.3033013343811035,nan
baseline,266,14.700000762939453,0.30000001192092896,-0.3599485158920288,nan
baseline,267,13.000001907348633,6.200000286102295,-0.41009053587913513,nan
baseline,268,14.800002098083496,-4.300000190734863,-0.4086320698261261,nan
baseline,269,14.900001525878906,2.5,-0.3665321171283722,nan
baseline,270,13.10000228881836,3.5,-0.3761771023273468,nan
baseline,271,15.500001907348633,2.0,-0.30525994300842285,nan
baseline,272,15.200002670288086,1.2999999523162842,-0.3064337968826294,nan
baseline,273,15.300003051757812,-1.5,-0.3093796372413635,nan
baseline,274,12.50000286102295,1.2999999523162842,-0.3683607280254364,nan
baseline,275,14.800003051757812,1.899999976158142,-0.352157860994339,nan
baseline,276,12.50000286102295,-2.700000047683716,-0.41854360699653625,nan
baseline,277,16.000003814697266,-3.200000047683716,-0.2876729667186737,nan
baseline,278,14.800003051757812,5.099999904632568,-0.3436107039451599,nan
baseline,279,13.600003242492676,6.200000286102295,-0.3909708559513092,nan
baseline,280,15.500003814697266,-0.5,-0.31749460101127625,nan
baseline,281,13.100003242492676,5.300000190734863,-0.4777156710624695,nan
baseline,282,14.400003433227539,-2.700000047683716,-0.37248969078063965,nan
baseline,283,15.400003433227539,0.20000001788139343,-0.3106789290904999,nan
baseline,284,15.100004196166992,3.0999999046325684,-0.3417069613933563,nan
baseline,285,15.800003051757812,1.2999999523162842,-0.2980782389640808,nan
baseline,286,13.000003814697266,1.9000000953674316,-0.39257514476776123,nan
baseline,287,15.200004577636719,5.599999904632568,-0.38163843750953674,nan
baseline,288,15.900004386901855,-1.2999999523162842,-0.3263091742992401,nan
baseline,289,15.800004959106445,4.400000095367432,-0.35499969124794006,nan
baseline,290,16.100006103515625,-0.7000000476837158,-0.31644418835639954,nan
baseline,291,16.20000648498535,0.0,-0.28302526473999023,nan
baseline,292,13.200005531311035,-4.800000190734863,-0.4209114909172058,nan
baseline,293,16.100006103515625,-1.899999976158142,-0.29372456669807434,nan
baseline,294,16.300006866455078,5.199999809265137,-0.36479249596595764,nan
baseline,295,14.300006866455078,6.199999809265137,-0.4098118841648102,nan
baseline,296,16.300006866455078,2.5,-0.3176533579826355,nan
baseline,297,16.800006866455078,-0.6999999284744263,-0.26898667216300964,nan
baseline,298,16.800006866455078,4.5,-0.30807265639305115,nan
baseline,299,8.000006675720215,-5.199999809265137,0.8822307586669922,nan
baseline,300,16.50000762939453,1.5,-0.3135400116443634,nan
baseline,301,17.200008392333984,-2.5999999046325684,-0.2661952078342438,nan
baseline,302,16.600008010864258,0.7000000476837158,-0.2673856019973755,nan
baseline,303,16.900007247924805,-1.5999999046325684,-0.25707560777664185,nan
baseline,304,16.800006866455078,-0.09999996423721313,-0.2577376067638397,nan
baseline,305,14.500007629394531,3.1000001430511475,-0.370910108089447,nan
baseline,306,5.900008201599121,0.30000004172325134,-0.29350072145462036,nan
baseline,307,17.60000991821289,-1.6999999284744263,-0.23262076079845428,nan
