method,node_id,x,y,z,nearest_baseline_m
baseline,144,10.299997329711914,-0.10000000894069672,-0.5414044857025146,nan
baseline,145,9.099996566772461,-0.30000001192092896,-0.5645495653152466,nan
baseline,146,11.299997329711914,1.600000023841858,-0.496768593788147,nan
baseline,147,11.599996566772461,-0.9000000357627869,-0.517053484916687,nan
baseline,148,11.499996185302734,0.10000000149011612,-0.4721097946166992,nan
baseline,149,10.899996757507324,2.8000001907348633,-0.5055453777313232,nan
baseline,150,11.599996566772461,-2.0999999046325684,-0.5149186849594116,nan
baseline,151,12.199996948242188,-0.30000001192092896,-0.5118643045425415,nan
baseline,152,11.899995803833008,2.0,-0.5271643400192261,nan
baseline,153,11.599996566772461,1.0,-0.5022441148757935,nan
baseline,154,10.299996376037598,2.9000000953674316,-0.5462477207183838,nan
baseline,155,10.999996185302734,-1.1999999284744263,-0.5385777950286865,nan
baseline,156,12.599996566772461,-1.9000000953674316,-0.47884875535964966,nan
baseline,157,9.499996185302734,3.200000047683716,-0.4500976800918579,nan
baseline,158,10.699995994567871,-2.700000047683716,-0.43202146887779236,nan
baseline,159,14.199995994567871,-1.8000001907348633,-0.4516530930995941,nan
baseline,160,12.499996185302734,0.5,-0.41488826274871826,nan
baseline,161,12.499996185302734,-1.0,-0.44165554642677307,nan
baseline,162,11.399995803833008,3.200000047683716,-0.46792805194854736,nan
baseline,163,5.799995422363281,2.0,-0.6874494552612305,nan
baseline,164,13.299995422363281,-2.0,-0.39593297243118286,nan
baseline,165,12.399995803833008,2.5999999046325684,-0.44916826486587524,nan
baseline,166,11.899995803833008,-1.5,-0.46015843749046326,nan
baseline,167,10.399995803833008,-2.1000001430511475,-0.5473987460136414,nan
baseline,168,13.199995040893555,0.30000001192092896,-0.4036577641963959,nan
baseline,169,12.899995803833008,3.0,-0.448064386844635,nan
baseline,170,13.399995803833008,-0.3999999761581421,-0.39626750349998474,nan
baseline,171,11.799995422363281,2.700000047683716,-0.4786427617073059,nan
baseline,172,12.799995422363281,-0.4000000059604645,-0.40986883640289307,nan
baseline,173,5.799995422363281,-0.8000000715255737,-0.5864657163619995,nan
baseline,174,13.399995803833008,-1.4000000953674316,-0.4426935315132141,nan
baseline,175,6.999995231628418,5.100000381469727,-0.5938073992729187,nan
baseline,176,12.699995040893555,3.700000047683716,-0.43485862016677856,nan
baseline,177,13.499996185302734,3.000000238418579,-0.44612374901771545,nan
baseline,178,11.199995040893555,2.200000047683716,-0.4857390224933624,nan
baseline,179,12.799995422363281,4.900000095367432,-0.4613312780857086,nan
baseline,180,13.899995803833008,0.4000000059604645,-0.4160269796848297,nan
baseline,181,14.199995040893555,-0.7000000476837158,-0.4261631965637207,nan
baseline,182,13.299995422363281,4.100000381469727,-0.4288458228111267,nan
baseline,183,14.899995803833008,-1.7999999523162842,-0.37201979756355286,nan
baseline,184,14.199995040893555,4.300000190734863,-0.42315107583999634,nan
baseline,185,12.499996185302734,6.300000190734863,-0.48239919543266296,nan
baseline,186,14.799995422363281,-0.5,-0.335053026676178,nan
baseline,187,14.599996566772461,0.30000001192092896,-0.38381481170654297,nan
baseline,188,10.699995994567871,-6.599999904632568,-0.49623167514801025,nan
baseline,189,7.5999956130981445,-0.30000001192092896,-0.4616714119911194,nan
baseline,190,15.299996376037598,-1.2000000476837158,-0.3456445038318634,nan
baseline,191,18.499996185302734,2.799999952316284,-0.2547401785850525,nan
baseline,192,13.799996376037598,-2.5999999046325684,-0.417940229177475,nan
baseline,193,12.599995613098145,7.0,-0.44862595200538635,nan
baseline,194,14.699995994567871,3.3000001907348633,-0.34835731983184814,nan
baseline,195,13.199995994567871,6.099999904632568,-0.460820734500885,nan
baseline,196,15.499996185302734,0.10000002384185791,-0.3281608521938324,nan
baseline,197,14.999996185302734,2.700000286102295,-0.3774580657482147,nan
baseline,198,19.099994659423828,1.8000000715255737,-0.23682507872581482,nan
baseline,199,18.699996948242188,-0.09999996423721313,-0.2842075824737549,nan
baseline,200,12.799996376037598,1.2000000476837158,-0.3693614602088928,nan
baseline,201,14.999996185302734,0.800000011920929,-0.33183619379997253,nan
baseline,202,15.899995803833008,-1.2000000476837158,-0.3308425843715668,nan
baseline,203,18.59999656677246,-1.100000023841858,-0.236445814371109,nan
baseline,204,12.599995613098145,2.0,-0.36825114488601685,nan
baseline,205,16.09999656677246,-0.6000000238418579,-0.3105177581310272,nan
baseline,206,14.699995994567871,-1.2000000476837158,-0.3472220003604889,nan
baseline,207,14.399995803833008,0.9000000357627869,-0.3205520808696747,nan
baseline,208,19.199996948242188,-0.5,-0.2189914882183075,nan
baseline,209,15.899995803833008,0.6000000238418579,-0.2767658233642578,nan
baseline,210,14.199995994567871,2.8000001907348633,-0.3548318147659302,nan
baseline,211,19.399995803833008,0.30000004172325134,-0.18794772028923035,nan
baseline,212,16.399995803833008,-2.0999999046325684,-0.29408058524131775,nan
baseline,213,13.199995994567871,7.40000057220459,-0.45888033509254456,nan
baseline,214,19.29999542236328,2.8000001907348633,-0.23575517535209656,nan
baseline,215,13.399995803833008,6.699999809265137,-0.5053675174713135,nan
baseline,216,16.499996185302734,-1.4000000953674316,-0.2728809416294098,nan
baseline,217,16.59999656677246,-0.09999996423721313,-0.2671513259410858,nan
baseline,218,15.699995994567871,2.8000001907348633,-0.3331165015697479,nan
baseline,219,13.799996376037598,1.100000023841858,-0.31809747219085693,nan
baseline,220,16.999996185302734,-1.9000000953674316,-0.23910336196422577,nan
baseline,221,16.59999656677246,6.40000057220459,-0.3488878607749939,nan
baseline,222,19.999996185302734,2.9000000953674316,-0.20329371094703674,nan
baseline,223,20.199996948242188,1.9000000953674316,-0.14752197265625,nan
baseline,224,13.999996185302734,3.5,-0.39122724533081055,nan
baseline,225,11.899995803833008,0.5000000596046448,-0.22514460980892181,nan
baseline,226,13.299995422363281,2.1000001430511475,-0.346070259809494,nan
baseline,227,20.199996948242188,-0.7999999523162842,-0.1324869990348816,nan
baseline,228,17.399995803833008,-0.2999999523162842,-0.2272443324327469,nan
baseline,229,19.499996185302734,1.3000000715255737,-0.22301670908927917,nan
baseline,230,19.599994659423828,2.200000047683716,-0.2158835232257843,nan
baseline,231,16.499996185302734,3.0,-0.2767426371574402,nan
baseline,232,17.29999542236328,0.6000000834465027,-0.2186846286058426,nan
baseline,233,20.399995803833008,0.30000007152557373,-0.12561079859733582,nan
baseline,234,11.999996185302734,1.4000000953674316,-0.2767491340637207,nan
baseline,235,7.5999956130981445,1.0000001192092896,-0.46923989057540894,nan
baseline,236,15.899995803833008,3.8000001907348633,-0.3234560787677765,nan
baseline,237,17.699996948242188,-1.4999998807907104,-0.21161019802093506,nan
baseline,238,17.899995803833008,0.7000000476837158,-0.21675856411457062,nan
baseline,239,16.499996185302734,0.9000000953674316,-0.2365570366382599,nan
baseline,240,21.099994659423828,-0.7999999523162842,-0.10280213505029678,nan
baseline,241,15.299995422363281,3.8000001907348633,-0.3374331295490265,nan
baseline,242,20.999996185302734,1.7000000476837158,-0.11259827017784119,nan
baseline,243,2.5999956130981445,5.960464477539063e-08,-0.44270047545433044,nan
baseline,244,18.099994659423828,-0.3999999761581421,-0.20194050669670105,nan
baseline,245,14.399995803833008,1.7000000476837158,-0.2810351848602295,nan
baseline,246,17.699996948242188,2.9000000953674316,-0.2576407194137573,nan
baseline,247,20.899995803833008,0.7000001072883606,-0.10178425163030624,nan
baseline,248,15.099995613098145,1.6000001430511475,-0.2769971489906311,nan
baseline,249,12.699995994567871,4.300000190734863,-0.4325186610221863,nan
baseline,250,24.79999542236328,-1.2999999523162842,0.05735921487212181,nan
baseline,251,21.099994659423828,0.10000008344650269,-0.11857249587774277,nan
baseline,252,17.199995040893555,-1.100000023841858,-0.21977482736110687,nan
baseline,253,13.799995422363281,1.7000000476837158,-0.238375723361969,nan
baseline,254,20.29999542236328,1.1000001430511475,-0.14266502857208252,nan
baseline,255,20.999996185302734,2.6000001430511475,-0.11992722749710083,nan
baseline,256,16.59999656677246,3.700000286102295,-0.33053094148635864,nan
baseline,257,20.999996185302734,3.3000001907348633,-0.13315439224243164,nan
baseline,258,15.999996185302734,1.6000001430511475,-0.23911190032958984,nan
baseline,259,17.099994659423828,2.6000001430511475,-0.2431044578552246,nan
baseline,260,18.099994659423828,1.7000001668930054,-0.235581174492836,nan
baseline,261,21.79999542236328,-0.5999999046325684,-0.12337243556976318,nan
baseline,262,17.29999542236328,5.600000381469727,-0.3827313184738159,nan
baseline,263,22.199995040893555,1.8000001907348633,-0.08003371953964233,nan
baseline,264,17.29999542236328,3.4000000953674316,-0.23994100093841553,nan
baseline,265,21.79999542236328,2.500000238418579,-0.09731948375701904,nan
baseline,266,12.599994659423828,-2.5,-0.37708547711372375,nan
baseline,267,21.899995803833008,0.3000001311302185,-0.08936381340026855,nan
baseline,268,11.099994659423828,0.8000001907348633,-0.22360841929912567,nan
baseline,269,15.499995231628418,2.1000001430511475,-0.22484618425369263,nan
baseline,270,16.79999542236328,1.7000001668930054,-0.2010575383901596,nan
baseline,271,15.499995231628418,-0.5999999046325684,-0.25122857093811035,nan
baseline,272,22.399995803833008,-0.5999997854232788,-0.09385484457015991,nan
baseline,273,22.399995803833008,3.200000286102295,-0.058156609535217285,nan
baseline,274,16.199995040893555,2.3000001907348633,-0.21595235168933868,nan
baseline,275,17.29999542236328,1.3000001907348633,-0.17162072658538818,nan
baseline,276,26.399993896484375,-0.9999997615814209,0.09478700160980225,nan
baseline,277,22.9999942779541,1.8000001907348633,-0.04342466592788696,nan
baseline,278,15.599994659423828,1.1000001430511475,-0.109405517578125,nan
baseline,279,22.599994659423828,2.500000238418579,-0.057782530784606934,nan
baseline,280,18.099994659423828,2.3000001907348633,-0.22111953794956207,nan
baseline,281,22.29999542236328,0.8000002503395081,-0.08723610639572144,nan
baseline,282,23.099994659423828,-0.399999737739563,-0.06612604856491089,nan
baseline,283,22.999996185302734,3.3000001907348633,-0.08812558650970459,nan
baseline,284,21.699995040893555,3.1000003814697266,-0.11288940906524658,nan
baseline,285,28.099994659423828,-0.7999997138977051,0.12869906425476074,nan
baseline,286,9.499995231628418,-12.300000190734863,1.2448707818984985,nan
baseline,287,23.499996185302734,2.3000001907348633,-0.059482693672180176,nan
baseline,288,23.699995040893555,-0.19999969005584717,-0.1342759132385254,nan
baseline,289,22.999996185302734,0.600000262260437,-0.08557689189910889,nan
baseline,290,23.599994659423828,1.700000286102295,-0.09225940704345703,nan
baseline,291,6.099994659423828,-8.200000762939453,-0.07992780208587646,nan
baseline,292,23.699996948242188,3.200000286102295,-0.0959506630897522,nan
baseline,293,25.199996948242188,4.100000381469727,-0.07001131772994995,nan
baseline,294,22.499996185302734,0.20000028610229492,-0.101706862449646,nan
baseline,295,8.399995803833008,-13.0,1.0592581033706665,nan
baseline,296,24.399995803833008,2.1000003814697266,-0.09368115663528442,nan
baseline,297,24.59999656677246,2.8000001907348633,-0.07177537679672241,nan
baseline,298,23.999996185302734,0.7000002861022949,-0.12020862102508545,nan
baseline,299,25.199996948242188,2.500000476837158,-0.08680963516235352,nan
baseline,300,24.69999885559082,0.5000002384185791,-0.039843857288360596,nan
